sentence	label
The alternative route to increased UA levels is a decline in UA clearance in the kidney.	0
The urate/anion transporter is highly expressed in the proximal kidney tubule, and genetic variants in the genes that code for the transporter may contribute to hyperuricemia.	0
In an attempt to discriminate genetic factors affecting UA levels, we scanned the genome with a panel of 362,129 single nucleotide polymorphisms (SNPs) in 4,305 Sardinian individuals.	0
Here, we report association between SNPs found in a glucose transporter gene, GLUT9, and UA levels.	1
We also show the association is confirmed in an independent population.	0
UA levels and genotypes were assessed for a cohort of individuals from Sardinia (see Materials and Methods).	0
Using a Bonferroni threshold of 1.3 x 10-7 (0.05/362,129), we selected 38 SNPs potentially associated with UA levels.	0
"Unexpectedly, rather than identifying variants in purine catabolism or in the urate transporter, the scan pointed to GLUT9 on Chromosome 4 (Figure 1; Table S1)."	1
All SNPs exceeding the Bonferroni significance threshold map to the region that encodes this Class II glucose transporter.	0
"The rare allele ""G"" of the top ranked SNP rs6855911 has an effect size of -0.317 mg/dl, with a more marked effect in women than in men (Table 1)."	0
Figure 2 shows the contributions of the two alleles of the SNP in homozygotes and heterozygotes.	0
Their effect is observed across the full range of UA values.	0
The strongest observed association of SNP rs6855911 and distribution of the SNPs in linkage disequilibrium are shown in Figure 3, along with the comparative linkage disequilibrium patterns in the HapMap Utah residents with ancestry from northern and western Europe (CEU) and Yoruba in Ibadan, Nigeria (YRI) samples.	0
Probability of association (plotted as -log10) according to their positions along the p to q arms of each chromosome (1 to 22 and X) for each of 362,169 SNPs that passed quality control filters.	0
The highest p-values are at the positions of the GLUT9 and PJA2 genes, and are indicated by vertical dotted lines.	1
Effect Sizes of Two SNPs in GLUT9 on UA Levels in Sardinian and InCHIANTI Cohorts.	1
Boxplot for UA Levels Correlated with rs6855911 Genotypes in Sardinian and InCHIANTI Population Cohorts.	0
"Standard boxplots are drawn with min, 0.25 quantile; median, 0.75 quantile; and 0.75 quantile + 1.5*IQR for the levels of UA (mg/dl)."	0
To increase readability, outliers were removed from the boxplots, but they were taken into account when estimating the parameters.	0
Sample size for each genotype class is also annotated.	0
Association Results and Linkage Disequilibrium Patterns in Region Surrounding the GLUT9 Gene.	1
Summary of the association between SNPs in the region and UA levels.	0
The SNP showing strongest association (rs6855911) is highlighted.	0
Other SNPs are colored according to their degree of disequilibrium with rs6855911, ranging from high (red), to intermediate (green), to low (blue).	0
Transcripts in the region are indicated at the bottom of the graph, with an arrow indicating the direction of transcription.	0
(B) Patterns of linkage disequilibrium in the region in Sardinia and in two of the HapMap populations (CEU and YRI), where r 2 values are calculated according to and colored as (A).	0
The grey bar marks the region of association and facilitates comparisons between the panels.	0
In a sequential analysis in which we selected the best SNP for each trait and then conditioned on it to successively select the next best SNP, a marker in the adjacent gene, WDR1, was selected at the second round, meaning that its signal is:at least in part:statistically independent from rs6855911 (Table 2).	1
These results can support either the presence of multiple variants in the same region or reflect different degrees of linkage disequilibrium with a causal SNP that remains to be identified.	0
Association Signals Identified in a Sequential Analysis.	0
"The only other gene showing a cluster of SNPs associated with UA levels:though at far less striking p-values (on the order of 10-7):is PJA2, a ubiquitin ligase gene on Chromosome 5; its position marked in Figure 1."	1
This possible association has not been examined further.	0
Based on the genetic results, we hypothesized that variants underlying the association with UA levels affect a critical step in UA production or elimination.	0
We started to test this hypothesis by studying the relationship between UA and the two top strongly associated SNPs in GLUT9 in an independent population sample.	1
We examined participants in the InCHIANTI study, an epidemiological study ongoing in two Italian towns in Chianti, Tuscany.	0
A detailed description of the study design and data collection methods of the InCHIANTI study has been published.	0
The study population consists of 1,301 individuals (579 males and 722 females), comprising a random sample of the population aged 65 years and older supplemented with 30 men and 30 women randomly selected in each decade between ages 20 and 70.	0
Table 1 and Figure 2 show that the results in this cohort replicate the findings in the Sardinian group.	0
For SNP rs6855911, the allele G has a negative additive effect of 0.39 mg/dl (p = 1.54 x 10-11).	0
Similarly, the rare allele G for rs7442295 has a negative additive effect of 0.42 mg/dl (p = 2.57 x 10-12).	0
Again, GLUT9 variants significantly and comparably affect UA levels over the whole distribution of values, without a threshold (Figure 2).	1
"Interestingly, while none of the Sardinian participants had hyperuricemia (UA > 7.5 mg/dl in men and >6.2 mg/dl in women), in the InCHIANTI study, participants with at least one G allele had a significantly lower prevalence of hyperuricemia (AA: 11.1%; AG: 7.2%; GG: 3.5%; p = 0.009)."	0
UA levels generally increase with age (e.g.,), and the InCHIANTI cohort is considerably older than the Sardinian sample, resulting in higher mean values for each genotype (Figure 2).	0
"However, the values for corresponding age groups in the two are very similar, as are the contribution of the GLUT9 alleles and the greater effect in females (Figure 2; Table 1)."	1
Because the Sardinian population, as a founder population, is relatively homogeneous (reviewed in), it can facilitate the detection of associated SNPs but might emphasize genes that are important only on the island.	0
In this respect, mainland Italian residents are both genetically much more heterogeneous and distinct from Sardinians (as distant from Sardinians as American Caucasians are).	0
Thus, the replication of allele effects in Chianti suggests that GLUT9 is involved in a general mechanism of UA production/elimination that may be biologically important in other populations as well.	1
The initial SNPs tested and found associated with UA levels all fall in noncoding regions.	0
To assess any candidate SNPs in the coding region and/or promoter of the gene, the exons and a 1.5 kb presumptive promoter region upstream of the transcription start site were amplified by PCR and sequenced in 30 individuals (ten for each homozygote and ten heterozygotes for rs6855911).	0
The primers used to amplify the genes are listed in Table S2. The sequencing found no new SNPs. However, we identified several SNPs in Sardinian DNA samples that were previously described in other populations. They include six SNPs in the promoter region and nine in exons (results are in Table S3).	0
Among the other SNPs in the region, rs16890979, a nonsynonymous SNP in exon 8 that produces a Val253Ile amino acid change, was in strong linkage disequilibrium with rs6855911 (r 2 = 0.74 in the HapMap CEU and r 2 = 1.0 among the 30 resequenced individuals).	0
However, genotyping of that coding SNP in a further 541 Sardinians suggests that rs6855911 and other noncoding SNPs in the region are more strongly associated with UA levels (p < 0.0004 for rs737267 and other noncoding SNPs in strong linkage disequilibrium with rs6855911, p = 0.02 for rs16890979).	0
Further analyses are necessary to identify the causal variant(s) in the region.	0
How might variants of GLUT9 differentially affect UA levels?	1
Studies have verified that GLUT9 transports glucose, and both characterized isoforms, comprising 540 and 511 amino acids, respectively, are highly expressed in liver and distal kidney tubules.	1
"In the liver, where much UA is synthesized, rare deficiency of glucose-6-phosphatase (Glycogenosis Type I; Online Mendelian Inheritance in Man 232200) leads to increased levels of UA."	0
Variations in the uptake of glucose via GLUT9 might also result in increases or decreases in glucose-6-phosphate and modulate metabolism through the pentose phosphate shunt.	1
Augmented levels of phosphoribosyl pyrophosphate synthesis, for example, could then lead to increased hepatic production of UA.	0
Alternatively, or in addition, the effect of GLUT9 on UA level may be exerted through effects on renal excretion.	1
In the kidney, urate transport occurs in the proximal tubular epithelium, whereas GLUT9 is expressed in more distal nephron segments, perhaps the distal convoluted or connecting tubules.	1
However, those segments are relatively anaerobic, and one can speculate that the levels of lactate and other anions could be altered by metabolism from the glucose supplied by GLUT9, with consequent changes in organic anion concentration in the interstitium and neighboring proximal tubule cells.	1
Anions are exchanged for urate by the transporter URAT1, with lactate as a preferred exchange ion, affecting the coupled process whereby filtered urate is reabsorbed from the urine in exchange for cytosolic organic anions.	1
Hence, GLUT9 variants in the kidney could change the ambient level of organic anions and thereby alter urate reabsorption and circulating urate levels.	1
Effects could be more marked in individuals with purine-rich diets, or in hypertensive individuals in whom reabsorption is favored by reduced blood flow in the proximal tubule and/or localized ischemia.	0
Regardless of underlying mechanism, GLUT9 variants clearly have a significant modulating effect on levels of UA.	1
Homozygotes for the two allelic variants differ in serum UA by 0.6 mg/dl, or on the order of 10% of the mean levels.	0
Based on the findings in an independent study, such a difference in UA levels would change the rate of cardiovascular events by about 1%.	0
In further assessing the impact of such variation, it is notable that many authors ( and review in) have pointed out that UA can function as an antioxidant, and that at earlier times in evolution, this may have been beneficial to human populations, in fact leading to the inactivation of uricase.	1
Consistent with a possible need for UA in past generations, we found that the observed allele associated with higher levels of UA, AA, is more common on a population level.	0
Allele GG, which is associated with lower levels, occurs in only 6.9% of the Sardinian and 6.6 % of the InCHIANTI population sample (Table S4 gives the absolute numbers).	0
"In those individuals with intermediate levels of UA, it remains unclear whether it functions simply as an antioxidant that tends to increase in conditions characterized by tissue damage or whether it has a deleterious effect; and at very high levels UA is patently pathological."	0
However, in individuals with very high levels, UA is patently pathological and mortality increases.	0
In such individuals, the G allele may be partially protective, and intriguingly, in the InCHIANTI study, participants with at least one G allele had a significantly lower prevalence of hyperuricemia (defined as UA >7.5 mg/dl in men and >6.2 mg/dl in women) compared to those with only A alleles.	0
It would be of interest to verify whether variants of associated SNPs in the GLUT9 gene are less represented in particular groups of individuals with different clinical forms of hyperuricemia and in sporadic gout patients.	1
Such effects would support the suggestion that GLUT9 may eventually provide a target for clinical intervention.	1
We recruited and phenotyped 6,148 individuals, male and female, 14-102 y old, from a cluster of four towns in the Lanusei Valley.	0
Blood samples were collected in the morning after the participants had been fasting for at least 12 h and after sitting for 15 min, both for SardiNIA and InCHIANTI cohorts.	0
Aliquots of serum were immediately obtained and stored at -80 C, and were subsequently used for the assessment of UA.	0
"UA (mg/dl) was measured using enzymatic-colorimetric methods (Bayer for SardiNIA; Roche Diagnostics for INCHIANTI)."	0
The lower limits of detection were 0.2 mg/dl, range 0.2-25.0 mg/dl, intra-assay and inter-assay coefficients of variation were equal to 0.5% and 1.7%, respectively. Hyperuricemia was defined as a serum urate concentration >7.5 mg/dl (450 mumol/l) in men and >6.2 mg/dL (372 mumol/l) in women, in agreement with clinical laboratory standards.	0
In the Sardinian cohort, 3,329 and 1,412 individuals were genotyped with the Affymetrix 10K and Affymetrix 500K Mapping array set, respectively, with 436 individuals generating an overlapping dataset.	0
We took advantage of the relatedness among individuals in our sample to reduce study costs.	0
Using a modified Lander-Green algorithm, full genotypes on the 2,893 individuals typed with only the 10K panel were imputed based on stretches of shared haplotype, permitting analyses on 4,305 individuals.	0
For genotyping for replication in the InCHIANTI cohort, allelic discrimination assays with predeveloped assay reagents (Applied Biosystems) for SNPs rs6855911 and rs7442295 were carried out using an ABI 7900HT sequencer detector system.	0
Each 10 mul reaction volume was prepared according to manufacturer's directions, and contained 5 mul of twice-concentrated TaqMan Universal PCR master mix, 0.25 mul of 40-fold concentrated SNP genotyping assay mix with amplifying primers and oligonucleotide labeled with VIC or FAM reporter dyes for the corresponding alleles, 1 mul containing 5 ng of template DNA from an InCHIANTI subject, and 3.75 mul of water.	0
Assays were run in 96-well format.	0
Controls included DNA with sequence-verified homozygous alleles, DNA with heterozygous alleles, or no template DNA, in each assay plate.	0
Following allele discrimination assays, a total of 14 random samples representing each allelic state were also checked by direct sequencing, confirming allele calls in all cases.	0
Analyses in the Sardinia cohort were carried out as in.	0
We focused on 362,129 SNPs that passed quality control checks.	0
We used a linear regression model to estimate the association between each SNP and UA levels.	0
To avoid inflated type I error rates due to the departure from normality of measured UA levels, we applied an inverse normal transformation to the phenotype prior to analysis.	0
We used an additive model and included sex, age, and age2 as covariates.	0
For individuals who had genotype data available at the SNP being tested, we coded genotypes as 0, 1, or 2, depending on the number of copies of an arbitrary reference allele for each SNP.	0
For individuals with missing genotype data, we used the Lander-Green algorithm to estimate the number of copies of the allele carried by each individual (based on the genotypes of family members) and assigned each individual a score ranging between 0 and 2.	0
This estimate incorporates allele frequency information, the genotypes of relatives for the SNP of interest, and flanking marker data.	0
For computational efficiency, the Lander-Green algorithm was applied to sub-pedigrees, each including no more than 20-25 individuals, resulting in a dataset where the average analysis unit consisted of a family with 12.3 members and 3.2 generations.	0
Finally, we used a variance component approach to account for correlation between different observed phenotypes within each family.	0
To evaluate association on the X chromosome, we modeled a polygenic variance component shared according to an X-linked kinship coefficient in addition to the usual autosomal polygenic variance component.	0
Further, we assumed that average phenotypic values for hemizygous males would be the same as for homozygous females.	0
Analysis for replication in the InCHIANTI population was carried out by again coding genotypes as 0, 1, or 2 and fitting a linear regression model adjusting for sex, age, and age2.	0
For the sequential analysis, the best SNP for each trait was selected first, and the analysis was conditioned on it to select successively the next best SNP.	0
To carry out this conditioning, we simply added the best SNP as a covariate to the model and repeated the genome-wide association scan for all other SNPs.	0
The same process was repeated in successive rounds.	0
This sequential analysis can help identify regions with multiple independent association signals.	0
After five rounds, additional SNPs identified had p-values that were far less significant.	0
Sequencing of exons and putative promoter regions with SNP variants.	0
Oligonucleotide primers to amplify putative promoter regions and exons, including the splice sites for two isoforms of the GLUT9 gene, were designed based on the exon-intron borders represented in the University of California Santa Cruz (UCSC) genome assembly using the primer prediction program Primer3 interfaced with the UCSC genome browser.	1
In the putative promoter regions, repeats were masked by Repeat Masker, and only primers outside the repeats were selected.	0
A list of primers used to amplify the exons is given in Table S2.	0
The exons were amplified by PCR in 25 mul reactions containing 0.2 mM dNTPs, final concentration 1 muM each of forward and reverse primers, 2 mM MgCl2, and 50 ng of genomic DNA as template, with 1 unit recombinant Taq DNA polymerase (Invitrogen).	0
The cycling conditions were as follows: 95 C 5 min, followed by 95 C for 30 sec, 60 C for 30 sec, and 72 C for 30 sec for 30 cycles.	0
The PCR products were purified by using ExoSAP-IT (USB Corporation) and were sequenced bidirectionally using the ABI PRISM BigDye Terminator v3.1 Cycle Sequencing Kit according to the manufacturer's recommendations, on an ABI PRISM 3100 Sequencer, and visualized with DNA Genetic Analyzer software (ABI PRISM 3100 Genetic Analyzer).	0
The National Center for Biotechnology Information (NCBI) Online Mendelian Inheritance in Man (OMIM, http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=232200) accession number for Glycogen storage disease Ia, simulating primary gout and xanthomatosis, is MIM 232200.	0
The NCBI Entrez database (http://www.ncbi.nlm.nih.gov/sites/gquery) accession number for Solute carrier family 2, member 9 protein isoform I, is NP 064425.	0
A previous version of this article appeared as an Early Online Release on September 26, 2007 (doi:10.1371/journal.pgen.0030194.eor).	0
	
Immune cells establish dynamic adhesive cell-cell interactions at a specific contact region, termed the immunological synapse (IS).	0
Intriguing features of the IS are the formation of regions of plasma membrane fusion and the intercellular exchange of membrane fragments between the conjugated cells.	0
It is not known whether upon IS formation, intact intracellular proteins can transfer from target cells to lymphocytes to allow the transmission of signals across cell boundaries.	0
Here we show by both FACS and confocal microscopy that human lymphocytes acquire from the cells they scan the inner-membrane protein H-Ras, a G-protein vital for common lymphocyte functions and a prominent participant in human cancer.	1
The transfer was cell contact-dependent and occurred in the context of cell-conjugate formation.	0
Moreover, the acquisition of oncogenic H-RasG12V by natural killer (NK) and T lymphocytes had important biological functions in the adopting lymphocytes: the transferred H-RasG12V induced ERK phosphorylation, increased interferon-gamma and tumor necrosis factor-alpha secretion, enhanced lymphocyte proliferation, and augmented NK-mediated target cell killing.	1
Our findings reveal a novel mode of cell-to-cell communication:allowing lymphocytes to extend the confines of their own proteome:which may moreover play an important role in natural tumor immunity.	0
	
"In fact, beta2 agonists are highly effective against asthma but have no effect on rhinitis; conversely, H1 receptor antagonists treat rhinitis symptoms but are ineffective against asthma."	1
Previous studies have revealed that tumour necrosis factor (TNF)-alpha is upregulated in fibrosing alveolitis (FA) in humans.	1
In brief, confluent monolayers of protein-A-coated sheep red blood cells (RBCs) and BAL or autologous PBMC cells from each individual were cultured in 30 mul chambers for 12 h, 37 C, 5% CO2 with complete media containing 1/50 dilution of rabbit antihuman TNF-alpha polyclonal antibody alone or with 10 mug/ml lipopolysaccharide.	1
It was only in the FA group that enhanced interleukin-8 production was seen from AMs.	1
"Immunocytochemical identification of T cells (CD3), total eosinophils (major basic protein; MBP), activated eosinophils (EG2) and mast cells (tryptase) in airways less than 2 mm (black) and greater than 2 mm (white) in diameter from patients with asthma."	1
Cultured human ASM cells stimulated with IL-1beta or TNF-alpha release IL-6 and GM-CSF.	1
Eotaxin is a potent chemoattractant for eosinophils, basophils and Th2-like T lymphocytes.	1
5-lipoxygenase (5-LO) is the enzyme that converts arachidonic acid to leukotriene (LT) A4, which is quickly converted to LTC4, LTB4, LTD4 and LTE4.	1
Tumor necrosis factor-alpha-induced secretion of RANTES and interleukin-6 from human airway smooth-muscle cells.	1
COPD is caused by cigarette smoking, evidenced by deterioration in lung function.	1
The SP-A/phospholipid ratio correlated with disease course over a six-month period and with mortality.	1
In the SP-D gene there are two exonic polymorphisms that result in substitutions: Thr11 Met and Thr160 Ala.	1
Whitsett and coworkers have shown that during lung development, the hydrophobic surfactant protein (SP)-B and SP-C mRNAs are first expressed in bronchi and bronchioles.	1
SP-B promotes film formation at the air-liquid interface.	1
Major achievements have occurred in identifying chromosomal regions and polymorphisms in candidate genes linked to or associated with asthma, atopic dermatitis, IgE levels and response to asthma therapy.	1
However, when several (potentially) functional SNPs are expressed in one (regulatory region of a) gene (e.g. IL-4Ralpha, IL-13, beta-2 adrenergic receptor [beta2AR]), they are likely to interact.	1
The identification of angiogenic growth factors, such as vascular endothelial growth factor and fibroblast growth factor, has fueled interest in using such factors to induce therapeutic angiogenesis.	1
The five VEGF-A protein isoforms in humans (and at least three major isoforms in the mouse) have different biochemical and biological properties.	1
The method for identifying probable orthologs is based on the genome-specific best hits (BeTs) rationale that underlies the construction of the COGs database.	1
For instance, leukemia inhibitor factor precursor (LIF) was substantially induced by IL-1beta in SW1353 cells, and this is consistent with previous reports of LIF as an IL-1-responsive gene in chondrocytes.	1
"Ankylosing spondylitis (AS) is a seronegative spondyloarthropathy that is frequently associated with human leucocyte antigen (HLA)-B27; 90% of AS patients test HLA-B27 positive."	1
The finding of elevated levels of CD8+ CD28- T cells was independent of the patients' age (Fig. 2a).	1
CD8+CD28- T cells have been reported to be effector cells, producing perforin, granzyme B, tumour necrosis factor-alpha and IFN-gamma, although others have reported only low levels of tumour necrosis factor-alpha and IFN-gamma in unselected CD8+ T cells from AS patients.	1
Accumulation of CD8+ CD28- cells in peripheral blood mononuclear cells of 95 patients with ankylosing spondylitis (AS) and 53 age-matched healthy controls .	1
Immunohistochemical analysis shows increased expression of the p65 NF-kappaB subunit in the endothelium, smooth muscles cells of damaged small vessels, infiltrated cells, glomeruli, tubuli and collecting ducts of dTGR.	1
EMSA for the detection of NF-kappaB shows a higher binding activity of dTGR kidney and heart homogenates compared with SD rats.	1
TNFalpha, sTNF-R1, and IL-1 ra are released in blood when GSTM is given by intramuscular injection to a subject with contact allergy to GSTS.	1
The approximate strain rates were 0.62 %/sec-1 at the slow rate and 67 %/sec-1 at the fast rate.	1
In PN-1 treated embryos, the distribution of GnRH neurons within the olfactory epithelium, nerve and brain on the side contralateral to the bead and that of controls were not significantly different indicating that the contralateral side in experimental embryos served as an internal control.	1
Contrary to the effect seen with PN-1, type IV chick ovoinhibitor accelerated neuronal migration with fewer GnRH neurons in the epithelium and correspondingly more within the brain.	1
The distribution of GnRH neurons was not altered by PN-1 at stages 17-21 in spite of the accelerated maturation of the olfactory nerve.	1
Brains processed for immunocytochemical localization of protease, PN-1 or axonal/glial markers were treated as described above, however the primary antibodies used were specific for each protein (see list below).	1
Water samples from DUWL effluents were collected in each dental unit for 10 randomly selected days, before and after a 5 minute DUWL disinfecting cycle with TetraAcetylEthileneDiamine (TAED) and persalt (Ster4spray produced by Farmec spa, and distributed by Castellini spa).	1
The initial analysis in humans of the relationship between HMG coA reductase inhibitors and fractures was carried out on the Study of Osteoporotic Fractures and the Fracture Intervention Trial cohorts.	1
Loss of p53 function by either mutation, nuclear exclusion, complex inactivation, or accelerated degradation via the newly discovered ARF-MDM2 pathway are observed in the majority of human tumors.	1
The autoantigenic polymyositis/scleroderma (PM/Scl) complex was recently shown to be the human homologue of the yeast exosome, which is an RNA-processing complex.	1
The prevalence of autoantibodies directed to six novel components of the human exosome (hRrp4p, hRrp40p, hRrp41p, hRrp42p, hRrp46p, hCsl4p) was determined in sera from anti-PM/Scl-positive patients with idiopathic inflammatory myopathy (IIM, n = 48), scleroderma (n = 11), or the myositis/scleroderma overlap syndrome (n = 10).	1
A proinflammatory role for IL-18 in rheumatoid arthritis (RA) pathogenesis has been shown by the activation of T cells and macrophages in primary cultures of RA synovial cells.	1
IkappaB-alpha activation was demonstrable only in IL-18Ralpha+beta+ RA-FLS and in the U937 monocyte cell line.	1
Each sample of 1 x 106 cells was either incubated with biotinylated IL-18 GST-fusion protein (final concentration 25 mug/ml) or a mixture (1:100) of biotinylated and unlabeled IL-18 GST-fusion protein for 1 hour on ice.	1
"The molecular weight of IL-18Ralpha in fibroblast-like synoviocytes (FLS) corresponds to ~55 and ~70 kDa (lane 1: positive result in FLS from patients with rheumatoid arthritis [RA]; lane 2: negative result in FLS from patients with osteoarthritis [OA]), and is consistent with a predominant ~100-kDa complex in cross-linking experiments (bound IL-18-GST ~44 kDa) (lane 3)."	1
"All cell preparations were highly enriched for FB, as determined by positivity for prolyl-4-hydroxylase and for CD90 (mAb [monoclonal antibody] AS02; Fig. 1 and Tables 2 and 3)."	1
After the amplification, a sample of each PCR product was transferred onto a nylon membrane (Zeta-Probe Blotting membrane, Bio-Rad Laboratories, Richmond, CA, USA) by alkaline transfer using a slot blot apparatus.	1
"Both viruses bind to transferrin receptor (TfR; Hueffer, Parker et al., 2003) as a prelude to infecting their host cells."	1
An issue which is not at all taken into account by the ligand-building module in ARP/wARP version 6.1 is partial occupancy and particularly high local disorder of the ligand to be built.	1
To determine if CRM1 plays a role in ERalpha nuclear exit, MCF-7 cells were treated with LMB in addition to estradiol.	1
FKHR nuclear export: regulation by estradiol and a role in hormone-induced DNA synthesis in MCF-7 cells.	1
ERalpha localization was also modulated by a Tat-conjugated peptide mimicking the ERalpha 444-456 sequence.	1
To analyze the kinetics, initial rates of fusion for either PC/PS or PC/PI 4,5-P2 acceptor liposomes were measured over a range of CAPS concentrations (Fig. 3 C).	1
Phosphoinositide binding by CAPS appeared to be essential for its promotion of SNARE-dependent fusion, but it was not sufficient based on the lack of activity of its PH domain.	1
"We also combined Ddx3x/Usp9x RNA FISH with H1t; 51/73 (70%) expressed Ddx3x/Usp9x (Fig. 5, k and l)."	1
The Msh5, Dmc1, and Brca1Delta11/Delta11,Trp53+/- mutant testes were archived frozen testes remaining from previous studies.	1
We conclude that Galphai3 plays a major role in the organization of the actin cytoskeleton, most likely via its interaction with GIV, an established actin binding protein.	1
We found that during cell migration, Galphai3 preferentially localizes to the leading edge where enhancement of Akt signaling occurs.	1
"It has previously been suggested that EMT initiated by Notch may proceed through the induction of Snail; however, the degenerate primers used in that study amplify both Snail and Slug."	1
Components of the TGF-beta pathway have been shown to be required for EMT and for the regulation of Snail family genes during heart development.	1
Targeting of CSL results in reduced TGF-beta2 and its receptor TBRII in the mouse heart.	1
In our study group, the vaccination site was mainly the health centers (82%), and this situation remained unchanged even in the service areas of the 3 MCH-FP centers, whose residents should be vaccinated by the MCH-FP center serving them. 	1
As expected, three of these classes were wild-type, trpm7 single mutants and enz single mutants.	1
To show in-situ that HER2 could be activated upon dimerization with other members of the HER family, A431 cells were stimulated with EGF, heregulin beta and heregulin beta-1 (ligands for HER1, HER3 and HER4 respectively).	1
We hypothesized that the greater effect on cell viability with combined Iressa and Herceptin treatment must be due to greater EGFR suppression from adding Herceptin to Iressa treatment.	1
Typically, a single gene encodes a large alpha chain that contains separate exons for the two membrane-distal peptide-binding domains (alpha-1 and alpha-2), a third exon for the membrane-proximal Ig-like domain (alpha-3), and a number of additional, smaller exons that are responsible for the transmembrane (Tm) and cytoplasmic (Cyt) domains.	1
However, in the present study, the specific effect of TMS when delivered on the motor area strongly suggests that the judgement of what is reachable does not rely on pure visual processing.	1
We determined the level of endogenously phosphorylated Akt-1 in stimulated NIH-3T3 fibroblasts by Western blotting using an antibody directed against the activated, phosphorylated form of Akt-1.	1
Only, at the highest zinc concentration (16 muM) that would correspond to a total release of Zn from 8 muM holo-Tat, a strong increase in turbidity was observed (green dashed-dotted-dotted line in Fig. 5A).	1
In quiescent naive CD4+ T cells, the Il2 locus is maintained in a transcriptionally silent state and is transiently activated following Ag presentation to the TCR in the context of an appropriate MHC molecule and costimulation.	1
TNF-alpha has been shown to regulate c-Rel activity in CD4+ T cells and IL-2 production in CD8+ T cells.	1
 IL-2 production in naive WT or TNFRDelta/Delta CD4+ T cells was measured by ELISA (A) or cytokine capture (B, C) at different times after alpha-TCR-beta + alpha-CD28 stimulation.	1
HepG2 cells treated with either 25-hydroxy cholesterol or insulin were stained with antibody against scavenger receptor B1 (SR-B1) or the LDL receptor.	1
